//CHER
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_Reais							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> Real_1, 	1					// Currency Classname, Currency Money Value
	<Currency> Real_2, 	2
	<Currency> Real_5, 	5
	<Currency> Real_10, 	10
	<Currency> Real_20, 	20
	<Currency> Real_50, 	50
	<Currency> Real_100, 	100
	<Currency> Real_200, 	200


<Trader> Consumiveis							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetais							// Category Name
		CaninaBerry,		         	*,		100,		30	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,		        	*,		100,		30	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		30	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		30	// Sellvalue -1 means it can not be selled
		Apple,					*,		100,		30
		Pear,					*,		100,		30
		Tomato,					*,		100,		30
		Potato,					*,		100,		30

	<Category> Sementes
		TomatoSeedsPack,			*,		600, 		25
		PepperSeedsPack,			*,		600, 		25
		ZucchiniSeedsPack,			*,		600, 		25
		PumpkinSeedsPack,			*,		600, 	        25
	
	<Category> Comidas embaladas
		BoxCerealCrunchin,		        *,		500,		10
		Rice,					*,		550,		10
		Marmalade,				*,		500,		10
		PeachesCan,				*,		600,		10
		SardinesCan,			*,		600,		10
		TunaCan,				*,		600,		10
		SpaghettiCan,			        *,		600,		10
		BakedBeansCan,			        *,		600,		10
		TacticalBaconCan,		        *,		600,		10		
		
	<Category> Bebidas
		SodaCan_Cola, 		        	*,		500, 		10
		SodaCan_Kvass, 		         	*,		500, 		10
		SodaCan_Pipsi, 		        	*,		500, 		10
		SodaCan_Spite, 		        	*,		500, 		10
		
	<Category> Suprimentos médicos
		BandageDressing,			*,		600,		50
		BloodTestKit,				*,		50,		50
		Thermometer,				*,		50,		50
		DisinfectantSpray,			*,		600,		50
		Heatpack,				*,		600,		50
		StartKitIV,				*,		800,		50
		SalineBag,				*,		800,		50
		BloodBagEmpty,				*,		600,		50
		
	<Category> Medicamentos
		CharcoalTablets,			*,		600,		50
		DisinfectantAlcohol,			*,		600,		50
		VitaminBottle,				*,		600,		50
		TetracyclineAntibiotics,		*,		600,		50
		PainkillerTablets,			*,		600,		50
		Epinephrine,				*,		600,		50
		Morphine,				*,		600,		50
		PurificationTablets,			*,		500,		50
                AntiChemInjector,			*,		900,		50
	

<Trader> Comerciante variado
	<Category> Construção
		FOG_SOCOM_Slammer_Black,		*,		2000,		500
		Screwdriver,				*,		2000,		50
		Wrench,					*,		1500,		200
        PowerGenerator,         		*,		2000,		500
        RFSolarPanelKit,         		*,		4000,		500
		SewingKit,				*,		600, 		100
		Pliers,					*,		600, 		100
		LeatherSewingKit,			*,		2000, 		100
		Whetstone,				*,		600,		100
